root,-,1,2164,GAME OVER
root,-,1,66,CLEAR
root,-,2,2,GAME OVER
root,-,2,51,GAME OVER
root,-,2,23.5,GAME OVER
root,-,3,2,GAME OVER
root,-,3,83,CLEAR
root,-,7,133,GAME OVER
root,-,4,112,GAME OVER
root,-,5,352,GAME OVER
root,-,7,2,GAME OVER
root,-,7,292,GAME OVER
Guest,-,1,8,GAME OVER
Guest,-,1,2,GAME OVER
Guest,-,2,5053,CLEAR
Guest,-,1,66,CLEAR
Guest,-,1,60,GAME OVER
Guest,-,1,62,CLEAR
Guest,-,1,40.5,CLEAR
Guest,-,1,66,CLEAR
Guest,-,7,490,GAME OVER
Guest,-,7,1588,GAME OVERroot,-,7,2,GAME OVER
root,-,7,132,GAME OVER
root,-,6,4080,GAME OVER
root,-,1,40.5,CLEAR
Guest,-,1,2,GAME OVER
